id|name|author|price|category|length|description
11|Verity|Colleen Hoover|11.26|Mystery, Thriller & Suspense|336|Lowen Ashleigh is a poor writer on the verge of bankruptcy when she takes the job of a lifetime. Jeremy Crawford, popular novelist Verity Crawford's husband, has hired Lowen to finish the remaining novels in a lucrative series that his wounded wife is unable to complete.\n\nLowen comes at the Crawford residence, eager to sift through years of Verity's notes and outlines in the hopes of finding enough material to get her started. What Lowen does not expect to find in the shambles of Verity's office is an unfinished autobiography that Verity never meant for anybody to read. Page after page of disturbing revelations, including Verity's remembrance of the night her family's lives were permanently changed.\n\nLowen chooses to withhold the book from Jeremy, knowing that its contents may be devastating to the already bereaved parent. But as Lowen's feelings for Jeremy become stronger, she realizes how much she would benefit if he read his wife's comments. After all, no matter how much Jeremy loves his damaged wife, this knowledge would make it difficult for him to continue loving her.
12|The Perfect Marriage|Ashley Flowers|9.99|Mystery, Thriller & Suspense|344|Sarah Morgan is a prominent and successful defense attorney in Washington, D.C. Life is going just as expected for her as a named partner at her firm. Adam, her spouse, cannot be considered to be the same. He's a struggling writer who hasn't had much success in his business, and he's sick of his and Sarah's relationship since she's always working.\n\nAdam had a passionate affair with Kelly Summers at the couple's lake home in the lonely woods. But everything changes one morning. Kelly is found brutally stabbed to death, and Sarah is now faced with her most difficult case yet: defending her own husband, who is suspected of murdering his lover.
13|Pen Pal|J.T. Geissinger|3.99|Mystery, Thriller & Suspense|320|The first letter arrived on the day my spouse was laid to rest. It was addressed to the state prison and contained only one sentence:\nI'll wait indefinitely if necessary.\n\nIt was signed by Dante, a man I had never met.\n\nI replied back out of curiosity to find out what he was waiting for. His response?\n\nYou.\n\nI informed the mysterious man that he had the incorrect female. He stated that he did not. I said we'd never met, but he corrected me.\n\nWe corresponded weekly, sharing letters that got increasingly personal. The letters then ceased one day. It was too late when I discovered why.\n\nDante had arrived at my door.\n\nNothing on this planet could have prepared me for what occurred next.
14|Rich Blood|Robert Bailey|5.99|Mystery, Thriller & Suspense|379|Attorney Jason Rich has built a fortune off of the misfortunes of others. "In an accident?" reads his billboard. "Get Rich!"—accompanies travellers from Alabama to Florida on roads. He's a standout among ambulance chasers.\n\nHowever, Jason has hit a difficult patch following a recent divorce and a term in recovery. And things only become worse when his sister, Jana, is suspected of murdering her husband. Jana asks Jason to represent her despite the fact that he has no expertise in criminal court.\n\nJason feels conflicted about returning to Lake Guntersville, Alabama, and even more so about re-entering his sister's life. Jana has a lot of enemies around town, thanks to the drugs, the affairs, and her penchant to gaslight everyone in her tight circle.\n\nBut did Jana hire someone to assassinate her husband? Jason isn't convinced. He returns to his village to uncover the truth and face combat against old and new foes.
15|Twenty Years Later|Charlie Donlea|13.49|Mystery, Thriller & Suspense|370|Avery Mason, the host of American Events, understands what topics pique the interest of a television audience. Her most recent narrative, a murder mystery packed with kinky sex, heartbreak, and treachery, is sure to be a ratings hit. New DNA testing has enabled the New York Medical Examiner's Office to successfully identify a 9/11 victim for the first time in years. The twist: the victim, Victoria Ford, was charged with the heinous murder of her married boyfriend. Victoria implored her sister to prove her innocence in a terrifying final phone chat.\n\nEmma Kind has waited twenty years to lay her sister to rest, but she won't be able to do so until Victoria's name is cleared. She's had little luck on her own, but she's confident that Avery's connections and celebrity would help. Avery goes into investigative overdrive in order to secure a more lucrative network deal. Victoria had an affair with a prominent author who was discovered hanging from the balcony of his Catskills estate. Victoria's DNA was found on the rope, the bedroom, and the whole crime scene.\n\nBut the tangled web of Victoria's personal life is only the beginning. And Avery is unaware that there are other participants in the game who are interested in Avery's own hidden past—one she has kept concealed from both network executives and her television audience. A secret she believed was long gone...
16|It Ends with Us|Colleen Hoover|10.29|Romance|384|Lily hasn't always had it easy, but that's never stopped her from working hard for the life she wants. She's come a long way from the small town where she grew up—she graduated from college, moved to Boston, and started her own business. And when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily's life seems too good to be true.\n\nRyle is assertive, stubborn, maybe even a little arrogant. He's also sensitive, brilliant, and has a total soft spot for Lily. And the way he looks in scrubs certainly doesn't hurt. Lily can't get him out of her head. But Ryle's complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his “no dating” rule, she can't help but wonder what made him that way in the first place.\n\nAs questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan—her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened.
17|The Good Luck Charm|Helena Hunting|12.49|Romance|353|Lilah isn't sure what hurt worse: the day Ethan left her to focus on his hockey career or the day he came back eight years later. He might think they can pick up just where they left off, but she's no longer that same girl and never wants to be again.\nEthan wants his glory days back. And that includes having Lilah by his side. With her, he was magic. They were magic. All he has to do is make her see that.\nJust when Lilah might finally be ready to let Ethan in, though, she finds out their reunion might have nothing to do with love and everything to do with improving his game. But Ethan's already lost her once, and even if it costs him his career, he'll do anything to keep from losing her again.
18|The Love Hypothesis Paperback|Ali Hazelwood|8.19|Romance|400|As a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships--but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks: Scientists require proof. So, like any self-respecting biologist, Olive panics and kisses the first man she sees.\n\nThat man is none other than Adam Carlsen, a young hotshot professor--and well-known ass. Which is why Olive is positively floored when Stanford's reigning lab tyrant agrees to keep her charade a secret and be her fake boyfriend. But when a big science conference goes haywire, putting Olive's career on the Bunsen burner, Adam surprises her again with his unyielding support and even more unyielding...six-pack abs.\n\nSuddenly their little experiment feels dangerously close to combustion. And Olive discovers that the only thing more complicated than a hypothesis on love is putting her own heart under the microscope.
19|The Seven Husbands of Evelyn Hugo|Taylor Jenkins Reid|13.69|Romance|400|Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now?\n\nMonique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career.\n\nSummoned to Evelyn’s luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the '80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn’s story near its conclusion, it becomes clear that her life intersects with Monique’s own in tragic and irreversible ways.
20|The Singles Table|Sara Desal|7.99|Romance|336|After a devastating break-up, celebrity-obsessed lawyer Zara Patel is determined never to open her heart again. She puts her energy into building her career and helping her friends find their happily-ever-afters. She's never faced a guest at the singles table she couldn’t match, until she crosses paths with the sinfully sexy Jay Dayal.\n\nFormer military security specialist Jay has no time for love. His life is about working hard, staying focused, and winning at all costs. When charismatic Zara crashes into his life, he's thrown into close contact with exactly the kind of chaos he wants to avoid. Worse, they're stuck together for the entire wedding season.\n\nSo they make a deal. She'll find his special someone if he introduces her to his celebrity clients. But when their arrangement brings them together in ways they never expected, they realize that the perfect match might just be their own.
21|test|test|1|test|1|test
